Name,Vote Pts,1st Place,Share,Season
Roy Halladay,136.0,26.0,0.97,2003
Esteban Loaiza,63.0,2.0,0.45,2003
Pedro Martinez,20.0,0.0,0.14,2003
Tim Hudson,15.0,0.0,0.11,2003
Jamie Moyer,12.0,0.0,0.09,2003
Andy Pettitte,4.0,0.0,0.03,2003
Keith Foulke,1.0,0.0,0.01,2003
Johan Santana,1.0,0.0,0.01,2003
Johan Santana,140.0,28.0,1.0,2004
Curt Schilling,82.0,0.0,0.59,2004
Mariano Rivera,27.0,0.0,0.19,2004
Pedro Martinez,1.0,0.0,0.01,2004
Joe Nathan,1.0,0.0,0.01,2004
Francisco Rodríguez,1.0,0.0,0.01,2004
Bartolo Colon,118.0,17.0,0.84,2005
Mariano Rivera,68.0,8.0,0.49,2005
Johan Santana,51.0,3.0,0.36,2005
Cliff Lee,8.0,0.0,0.06,2005
Mark Buehrle,5.0,0.0,0.04,2005
Jon Garland,1.0,0.0,0.01,2005
Kevin Millwood,1.0,0.0,0.01,2005
Johan Santana,140.0,28.0,1.0,2006
Chien-Ming Wang,51.0,0.0,0.36,2006
Roy Halladay,48.0,0.0,0.34,2006
Francisco Rodríguez,5.0,0.0,0.04,2006
Joe Nathan,3.0,0.0,0.02,2006
Kenny Rogers,3.0,0.0,0.02,2006
Justin Verlander,2.0,0.0,0.01,2006
CC Sabathia,119.0,19.0,0.85,2007
Josh Beckett,86.0,8.0,0.61,2007
John Lackey,36.0,1.0,0.26,2007
Roberto Hernandez,7.0,0.0,0.05,2007
Erik Bedard,1.0,0.0,0.01,2007
Roy Halladay,1.0,0.0,0.01,2007
Johan Santana,1.0,0.0,0.01,2007
Justin Verlander,1.0,0.0,0.01,2007
Cliff Lee,132.0,24.0,0.94,2008
Roy Halladay,71.0,4.0,0.51,2008
Francisco Rodríguez,32.0,0.0,0.23,2008
Daisuke Matsuzaka,10.0,0.0,0.07,2008
Mariano Rivera,3.0,0.0,0.02,2008
Mike Mussina,2.0,0.0,0.01,2008
Ervin Santana,2.0,0.0,0.01,2008
Zack Greinke,134.0,25.0,0.96,2009
Félix Hernández,80.0,2.0,0.57,2009
Justin Verlander,14.0,1.0,0.1,2009
CC Sabathia,13.0,0.0,0.09,2009
Roy Halladay,11.0,0.0,0.08,2009
Félix Hernández,167.0,21.0,0.85,2010
David Price,111.0,4.0,0.57,2010
CC Sabathia,102.0,3.0,0.52,2010
Jon Lester,33.0,0.0,0.17,2010
Jered Weaver,24.0,0.0,0.12,2010
Clay Buchholz,20.0,0.0,0.1,2010
Cliff Lee,6.0,0.0,0.03,2010
