Team,Tm,Team_W,Team_L,Team_W-L%,GB,Season
New York Yankees,NYY,101,61,0.623,0.0,2003
Boston Red Sox,BOS,95,67,0.586,6.0,2003
Toronto Blue Jays,TOR,86,76,0.531,15.0,2003
Baltimore Orioles,BAL,71,91,0.438,30.0,2003
Tampa Bay Devil Rays,TBD,63,99,0.389,38.0,2003
Minnesota Twins,MIN,90,72,0.556,0.0,2003
Chicago White Sox,CHW,86,76,0.531,4.0,2003
Kansas City Royals,KCR,83,79,0.512,7.0,2003
Cleveland Indians,CLE,68,94,0.42,22.0,2003
Detroit Tigers,DET,43,119,0.265,47.0,2003
Oakland Athletics,OAK,96,66,0.593,0.0,2003
Seattle Mariners,SEA,93,69,0.574,3.0,2003
Anaheim Angels,ANA,77,85,0.475,19.0,2003
Texas Rangers,TEX,71,91,0.438,25.0,2003
New York Yankees,NYY,101,61,0.623,0.0,2004
Boston Red Sox,BOS,98,64,0.605,3.0,2004
Baltimore Orioles,BAL,78,84,0.481,23.0,2004
Tampa Bay Devil Rays,TBD,70,91,0.435,30.5,2004
Toronto Blue Jays,TOR,67,94,0.416,33.5,2004
Minnesota Twins,MIN,92,70,0.568,0.0,2004
Chicago White Sox,CHW,83,79,0.512,9.0,2004
Cleveland Indians,CLE,80,82,0.494,12.0,2004
Detroit Tigers,DET,72,90,0.444,20.0,2004
Kansas City Royals,KCR,58,104,0.358,34.0,2004
Anaheim Angels,ANA,92,70,0.568,0.0,2004
Oakland Athletics,OAK,91,71,0.562,1.0,2004
Texas Rangers,TEX,89,73,0.5489999999999999,3.0,2004
Seattle Mariners,SEA,63,99,0.389,29.0,2004
New York Yankees,NYY,95,67,0.586,0.0,2005
Boston Red Sox,BOS,95,67,0.586,0.0,2005
Toronto Blue Jays,TOR,80,82,0.494,15.0,2005
Baltimore Orioles,BAL,74,88,0.457,21.0,2005
Tampa Bay Devil Rays,TBD,67,95,0.414,28.0,2005
Chicago White Sox,CHW,99,63,0.611,0.0,2005
Cleveland Indians,CLE,93,69,0.574,6.0,2005
Minnesota Twins,MIN,83,79,0.512,16.0,2005
Detroit Tigers,DET,71,91,0.438,28.0,2005
Kansas City Royals,KCR,56,106,0.34600000000000003,43.0,2005
Los Angeles Angels of Anaheim,LAA,95,67,0.586,0.0,2005
Oakland Athletics,OAK,88,74,0.5429999999999999,7.0,2005
Texas Rangers,TEX,79,83,0.488,16.0,2005
Seattle Mariners,SEA,69,93,0.426,26.0,2005
New York Yankees,NYY,97,65,0.599,0.0,2006
Toronto Blue Jays,TOR,87,75,0.537,10.0,2006
Boston Red Sox,BOS,86,76,0.531,11.0,2006
Baltimore Orioles,BAL,70,92,0.4320000000000001,27.0,2006
Tampa Bay Devil Rays,TBD,61,101,0.377,36.0,2006
Minnesota Twins,MIN,96,66,0.593,0.0,2006
Detroit Tigers,DET,95,67,0.586,1.0,2006
Chicago White Sox,CHW,90,72,0.556,6.0,2006
Cleveland Indians,CLE,78,84,0.481,18.0,2006
Kansas City Royals,KCR,62,100,0.383,34.0,2006
Oakland Athletics,OAK,93,69,0.574,0.0,2006
Los Angeles Angels of Anaheim,LAA,89,73,0.5489999999999999,4.0,2006
Texas Rangers,TEX,80,82,0.494,13.0,2006
Seattle Mariners,SEA,78,84,0.481,15.0,2006
Boston Red Sox,BOS,96,66,0.593,0.0,2007
New York Yankees,NYY,94,68,0.58,2.0,2007
Toronto Blue Jays,TOR,83,79,0.512,13.0,2007
Baltimore Orioles,BAL,69,93,0.426,27.0,2007
Tampa Bay Devil Rays,TBD,66,96,0.407,30.0,2007
Cleveland Indians,CLE,96,66,0.593,0.0,2007
Detroit Tigers,DET,88,74,0.5429999999999999,8.0,2007
Minnesota Twins,MIN,79,83,0.488,17.0,2007
Chicago White Sox,CHW,72,90,0.444,24.0,2007
Kansas City Royals,KCR,69,93,0.426,27.0,2007
Los Angeles Angels of Anaheim,LAA,94,68,0.58,0.0,2007
Seattle Mariners,SEA,88,74,0.5429999999999999,6.0,2007
Oakland Athletics,OAK,76,86,0.469,18.0,2007
Texas Rangers,TEX,75,87,0.463,19.0,2007
Tampa Bay Rays,TBR,97,65,0.599,0.0,2008
Boston Red Sox,BOS,95,67,0.586,2.0,2008
New York Yankees,NYY,89,73,0.5489999999999999,8.0,2008
Toronto Blue Jays,TOR,86,76,0.531,11.0,2008
Baltimore Orioles,BAL,68,93,0.422,28.5,2008
Chicago White Sox,CHW,89,74,0.546,0.0,2008
Minnesota Twins,MIN,88,75,0.54,1.0,2008
Cleveland Indians,CLE,81,81,0.5,7.5,2008
Kansas City Royals,KCR,75,87,0.463,13.5,2008
Detroit Tigers,DET,74,88,0.457,14.5,2008
Los Angeles Angels of Anaheim,LAA,100,62,0.617,0.0,2008
Texas Rangers,TEX,79,83,0.488,21.0,2008
Oakland Athletics,OAK,75,86,0.466,24.5,2008
Seattle Mariners,SEA,61,101,0.377,39.0,2008
New York Yankees,NYY,103,59,0.636,0.0,2009
Boston Red Sox,BOS,95,67,0.586,8.0,2009
Tampa Bay Rays,TBR,84,78,0.519,19.0,2009
Toronto Blue Jays,TOR,75,87,0.463,28.0,2009
Baltimore Orioles,BAL,64,98,0.395,39.0,2009
Minnesota Twins,MIN,87,76,0.534,0.0,2009
Detroit Tigers,DET,86,77,0.528,1.0,2009
Chicago White Sox,CHW,79,83,0.488,7.5,2009
Cleveland Indians,CLE,65,97,0.401,21.5,2009
Kansas City Royals,KCR,65,97,0.401,21.5,2009
Los Angeles Angels of Anaheim,LAA,97,65,0.599,0.0,2009
Texas Rangers,TEX,87,75,0.537,10.0,2009
Seattle Mariners,SEA,85,77,0.525,12.0,2009
Oakland Athletics,OAK,75,87,0.463,22.0,2009
Tampa Bay Rays,TBR,96,66,0.593,0.0,2010
New York Yankees,NYY,95,67,0.586,1.0,2010
Boston Red Sox,BOS,89,73,0.5489999999999999,7.0,2010
Toronto Blue Jays,TOR,85,77,0.525,11.0,2010
Baltimore Orioles,BAL,66,96,0.407,30.0,2010
Minnesota Twins,MIN,94,68,0.58,0.0,2010
Chicago White Sox,CHW,88,74,0.5429999999999999,6.0,2010
Detroit Tigers,DET,81,81,0.5,13.0,2010
Cleveland Indians,CLE,69,93,0.426,25.0,2010
Kansas City Royals,KCR,67,95,0.414,27.0,2010
Texas Rangers,TEX,90,72,0.556,0.0,2010
Oakland Athletics,OAK,81,81,0.5,9.0,2010
Los Angeles Angels of Anaheim,LAA,80,82,0.494,10.0,2010
Seattle Mariners,SEA,61,101,0.377,29.0,2010
New York Yankees,NYY,97,65,0.599,0.0,2011
Tampa Bay Rays,TBR,91,71,0.562,6.0,2011
Boston Red Sox,BOS,90,72,0.556,7.0,2011
Toronto Blue Jays,TOR,81,81,0.5,16.0,2011
Baltimore Orioles,BAL,69,93,0.426,28.0,2011
Detroit Tigers,DET,95,67,0.586,0.0,2011
Cleveland Indians,CLE,80,82,0.494,15.0,2011
Chicago White Sox,CHW,79,83,0.488,16.0,2011
Kansas City Royals,KCR,71,91,0.438,24.0,2011
Minnesota Twins,MIN,63,99,0.389,32.0,2011
Texas Rangers,TEX,96,66,0.593,0.0,2011
Los Angeles Angels of Anaheim,LAA,86,76,0.531,10.0,2011
Oakland Athletics,OAK,74,88,0.457,22.0,2011
Seattle Mariners,SEA,67,95,0.414,29.0,2011
New York Yankees,NYY,95,67,0.586,0.0,2012
Baltimore Orioles,BAL,93,69,0.574,2.0,2012
Tampa Bay Rays,TBR,90,72,0.556,5.0,2012
Toronto Blue Jays,TOR,73,89,0.451,22.0,2012
Boston Red Sox,BOS,69,93,0.426,26.0,2012
Detroit Tigers,DET,88,74,0.5429999999999999,0.0,2012
Chicago White Sox,CHW,85,77,0.525,3.0,2012
Kansas City Royals,KCR,72,90,0.444,16.0,2012
Cleveland Indians,CLE,68,94,0.42,20.0,2012
Minnesota Twins,MIN,66,96,0.407,22.0,2012
Oakland Athletics,OAK,94,68,0.58,0.0,2012
Texas Rangers,TEX,93,69,0.574,1.0,2012
Los Angeles Angels of Anaheim,LAA,89,73,0.5489999999999999,5.0,2012
Seattle Mariners,SEA,75,87,0.463,19.0,2012
Boston Red Sox,BOS,97,65,0.599,0.0,2013
Tampa Bay Rays,TBR,92,71,0.564,5.5,2013
Baltimore Orioles,BAL,85,77,0.525,12.0,2013
New York Yankees,NYY,85,77,0.525,12.0,2013
Toronto Blue Jays,TOR,74,88,0.457,23.0,2013
Detroit Tigers,DET,93,69,0.574,0.0,2013
Cleveland Indians,CLE,92,70,0.568,1.0,2013
Kansas City Royals,KCR,86,76,0.531,7.0,2013
Minnesota Twins,MIN,66,96,0.407,27.0,2013
Chicago White Sox,CHW,63,99,0.389,30.0,2013
Oakland Athletics,OAK,96,66,0.593,0.0,2013
Texas Rangers,TEX,91,72,0.5579999999999999,5.5,2013
Los Angeles Angels of Anaheim,LAA,78,84,0.481,18.0,2013
Seattle Mariners,SEA,71,91,0.438,25.0,2013
Houston Astros,HOU,51,111,0.315,45.0,2013
Baltimore Orioles,BAL,96,66,0.593,0.0,2014
New York Yankees,NYY,84,78,0.519,12.0,2014
Toronto Blue Jays,TOR,83,79,0.512,13.0,2014
Tampa Bay Rays,TBR,77,85,0.475,19.0,2014
Boston Red Sox,BOS,71,91,0.438,25.0,2014
Detroit Tigers,DET,90,72,0.556,0.0,2014
Kansas City Royals,KCR,89,73,0.5489999999999999,1.0,2014
Cleveland Indians,CLE,85,77,0.525,5.0,2014
Chicago White Sox,CHW,73,89,0.451,17.0,2014
Minnesota Twins,MIN,70,92,0.4320000000000001,20.0,2014
Los Angeles Angels of Anaheim,LAA,98,64,0.605,0.0,2014
Oakland Athletics,OAK,88,74,0.5429999999999999,10.0,2014
Seattle Mariners,SEA,87,75,0.537,11.0,2014
Houston Astros,HOU,70,92,0.4320000000000001,28.0,2014
Texas Rangers,TEX,67,95,0.414,31.0,2014
Toronto Blue Jays,TOR,93,69,0.574,0.0,2015
New York Yankees,NYY,87,75,0.537,6.0,2015
Baltimore Orioles,BAL,81,81,0.5,12.0,2015
Tampa Bay Rays,TBR,80,82,0.494,13.0,2015
Boston Red Sox,BOS,78,84,0.481,15.0,2015
Kansas City Royals,KCR,95,67,0.586,0.0,2015
Minnesota Twins,MIN,83,79,0.512,12.0,2015
Cleveland Indians,CLE,81,80,0.503,13.5,2015
Chicago White Sox,CHW,76,86,0.469,19.0,2015
Detroit Tigers,DET,74,87,0.46,20.5,2015
Texas Rangers,TEX,88,74,0.5429999999999999,0.0,2015
Houston Astros,HOU,86,76,0.531,2.0,2015
Los Angeles Angels of Anaheim,LAA,85,77,0.525,3.0,2015
Seattle Mariners,SEA,76,86,0.469,12.0,2015
Oakland Athletics,OAK,68,94,0.42,20.0,2015
Boston Red Sox,BOS,93,69,0.574,0.0,2016
